subsystem,reaction
Eicosanoid metabolism,RE1978C
Miscellaneous,RE1050E
Methionine and cysteine metabolism,RE2030M
Urea cycle,RE2034C
Androgen and estrogen synthesis and metabolism,RE1587C
Androgen and estrogen synthesis and metabolism,RE1630C
Androgen and estrogen synthesis and metabolism,RE1632C
Miscellaneous,CYANSTm
Tetrahydrobiopterin metabolism,RE1709C
Bile acid synthesis,RE1804M
Bile acid synthesis,RE1807C
Eicosanoid metabolism,RE2069C
Eicosanoid metabolism,RE2078M
Eicosanoid metabolism,RE2080C
"Glycine, serine, alanine, and threonine metabolism",RE2111M
Bile acid synthesis,RE2112R
Tyrosine metabolism,RE2122C
Miscellaneous,RE2127C
Tyrosine metabolism,RE2130C
Bile acid synthesis,RE1810M
Bile acid synthesis,RE1826C
Bile acid synthesis,RE1834M
Steroid metabolism,STS3
Bile acid synthesis,RE1835C
Bile acid synthesis,RE1845C
Miscellaneous,RE2155C
Urea cycle,RE1898C
Steroid metabolism,STS3r
Vitamin A metabolism,RE1901R
Tyrosine metabolism,RE1919C
Steroid metabolism,RE1134C
Steroid metabolism,STS4
Tryptophan metabolism,RE1233C
Urea cycle,SPMDAT1
Urea cycle,SPMDAT2
Methionine and cysteine metabolism,RE2223M
Lysine metabolism,AADSACYCL
Vitamin D metabolism,RE2240C
Tetrahydrobiopterin metabolism,RE2660C
Miscellaneous,RE2273E
Fructose and mannose metabolism,RE1342C
Tyrosine metabolism,RE2296C
Tetrahydrobiopterin metabolism,RE2660N
Glycosphingolipid metabolism,RE2666C_1
Linoleate metabolism,RE2346C
Androgen and estrogen synthesis and metabolism,RE2386C
Miscellaneous,RE2405C
Phosphatidylinositol phosphate metabolism,RE1441R_1
Tryptophan metabolism,RE2426C
"Glycine, serine, alanine, and threonine metabolism",RE2427M
"Glycine, serine, alanine, and threonine metabolism",RE2429M
Miscellaneous,RE2445E
Fatty acid oxidation,RE1516X
Miscellaneous,RE2526C
Tryptophan metabolism,RE2562C
Fatty acid oxidation,RE1517M
Arachidonic acid metabolism,RE2563C
Arachidonic acid metabolism,RE3036C
Purine catabolism,RE2605C
Bile acid synthesis,RE2625M
Bile acid synthesis,RE2626M
Bile acid synthesis,RE2635C
Bile acid synthesis,RE2636C
Urea cycle,RE2644C
Glycosphingolipid metabolism,RE2677E_1
Glycosphingolipid metabolism,RE2677N_1
Vitamin E metabolism,RE2705C
Glycosphingolipid metabolism,RE2717L
Bile acid synthesis,RE2814M
Purine catabolism,RE2888C_1
Vitamin E metabolism,RE2948C
Bile acid synthesis,RE2649M
Vitamin A metabolism,RE2651R
Vitamin A metabolism,RE2658C
Pyrimidine synthesis,PYK6
Phosphatidylinositol phosphate metabolism,RE2972M_1
Arachidonic acid metabolism,RE3041C
Phosphatidylinositol phosphate metabolism,RE2973N_1
Phosphatidylinositol phosphate metabolism,RE2974N_1
Arachidonic acid metabolism,RE3044C
Fatty acid oxidation,RE2985X
Fatty acid oxidation,RE2986X
Fatty acid oxidation,RE2991X
Fatty acid oxidation,RE2992M
Vitamin A metabolism,RE3050R
Fatty acid oxidation,RE2998M
Fatty acid oxidation,RE3076X
Fatty acid oxidation,RE2999M
Fatty acid oxidation,RE3000M
Fatty acid oxidation,RE3192M
Fatty acid oxidation,RE3079X
Fatty acid oxidation,RE3001M
Fatty acid oxidation,RE3081X
Fatty acid oxidation,RE3002X
Fatty acid oxidation,RE3005M
Eicosanoid metabolism,RE3010C
Eicosanoid metabolism,RE3010X
Fatty acid oxidation,RE3193M
Fatty acid oxidation,RE3194M
Eicosanoid metabolism,RE3011R
Androgen and estrogen synthesis and metabolism,RE3013C
Fatty acid oxidation,RE3103C
Eicosanoid metabolism,RE3014R
Eicosanoid metabolism,RE3016R
Eicosanoid metabolism,RE3017R
Tyrosine metabolism,RE3201C
Fatty acid synthesis,RE3224C
Fatty acid synthesis,RE3228C
Fatty acid synthesis,RE3231C
Fatty acid oxidation,RE3104C
Fatty acid synthesis,RE3232C
Fatty acid synthesis,RE3234C
Androgen and estrogen synthesis and metabolism,RE3108C
Fatty acid synthesis,RE3236C
Fatty acid synthesis,RE3237C
Fatty acid synthesis,RE3241C
Fatty acid synthesis,RE3243C
Eicosanoid metabolism,RE3432C
Eicosanoid metabolism,RE3434C
Eicosanoid metabolism,RE3436C
Eicosanoid metabolism,RE3437C
Fatty acid oxidation,RE3247M
Fatty acid oxidation,RE3247X
Bile acid synthesis,RE3251C
Bile acid synthesis,RE3251M
Bile acid synthesis,RE3252C
Arachidonic acid metabolism,RE3476C
Arachidonic acid metabolism,RE3476M
Phosphatidylinositol phosphate metabolism,PI3PP
Phosphatidylinositol phosphate metabolism,RE3273R_1
Fatty acid oxidation,RE3110C
Arachidonic acid metabolism,RE3286C
Arachidonic acid metabolism,RE3287C
Eicosanoid metabolism,RE3485C
Eicosanoid metabolism,RE3486C
Eicosanoid metabolism,RE3488C
Arachidonic acid metabolism,RE3288C
Arachidonic acid metabolism,RE3289C
Eicosanoid metabolism,RE3490C
Eicosanoid metabolism,RE3307C
Eicosanoid metabolism,RE3491C
Bile acid synthesis,RE3346M
Fatty acid oxidation,RE3113C
Arachidonic acid metabolism,RE3513C
Arachidonic acid metabolism,RE3513R
Urea cycle,RE3367E
Arachidonic acid metabolism,RE3520E
Fatty acid oxidation,RE3114R
Eicosanoid metabolism,RE3524R
Miscellaneous,RE3381C
Fatty acid oxidation,RE3119C
Linoleate metabolism,RE3411C_1
Linoleate metabolism,RE3413C
Arachidonic acid metabolism,RE3525M
Arachidonic acid metabolism,RE3526C
Arachidonic acid metabolism,RE3526M
Eicosanoid metabolism,RE3565C
Eicosanoid metabolism,RE3566C
Eicosanoid metabolism,RE3567C
Eicosanoid metabolism,RE3421R
Eicosanoid metabolism,RE3422C
Extracellular exchange,EX_CE2250_e
Eicosanoid metabolism,RE3570C
Extracellular exchange,EX_CE1935_e
Eicosanoid metabolism,RE3587C
Extracellular exchange,EX_CE1943_e
Eicosanoid metabolism,RE3597C
Fatty acid oxidation,RE3120C
Eicosanoid metabolism,RE3597M
Eicosanoid metabolism,RE3597X
Fatty acid oxidation,RE3122C
Fatty acid oxidation,RE3626M
Fatty acid oxidation,RE3628M
Extracellular exchange,EX_CE1939_e
Extracellular exchange,EX_CE2915_e
Extracellular exchange,EX_CE4722_e
Extracellular exchange,EX_CE4723_e
Extracellular exchange,EX_prostgh2_e
Fatty acid oxidation,RE3146R
Extracellular exchange,EX_citr__L_e
Extracellular exchange,EX_HC00822_e
Extracellular exchange,EX_C02528_e
Extracellular exchange,EX_HC02192_e
Extracellular exchange,EX_HC02195_e
Extracellular exchange,EX_HC02191_e
Extracellular exchange,EX_HC02198_e
Extracellular exchange,EX_HC02203_e
Extracellular exchange,EX_HC02204_e
Extracellular exchange,EX_HC02205_e
Extracellular exchange,EX_HC02206_e
Extracellular exchange,EX_HC02207_e
Extracellular exchange,EX_HC02213_e
Extracellular exchange,EX_HC02217_e
Extracellular exchange,EX_arachcoa_e
Extracellular exchange,EX_coa_e
Extracellular exchange,EX_CE4724_e
Extracellular exchange,EX_malthp_e
Extracellular exchange,EX_CE2838_e
Extracellular exchange,EX_cynt_e
Extracellular exchange,EX_3ump_e
Extracellular exchange,EX_CE5786_e
Extracellular exchange,EX_CE5797_e
Extracellular exchange,EX_CE5787_e
Extracellular exchange,EX_CE5868_e
Extracellular exchange,EX_CE4881_e
Extracellular exchange,EX_CE5854_e
Extracellular exchange,EX_cdpea_e
Extracellular exchange,EX_CE5853_e
Extracellular exchange,EX_CE1925_e
"Transport, extracellular",CITt4_4
Fatty acid oxidation,C12OHc
Fatty acid oxidation,RE3153C
"Transport, extracellular",HCO3_NAt
Fatty acid oxidation,RE3156X
Fatty acid oxidation,C141OHe
"Transport, extracellular",INSTt4_2
Fatty acid oxidation,RE3165C
Fatty acid oxidation,C142CPT1
Fatty acid oxidation,C142OHc
Fatty acid oxidation,RE3168C
Fatty acid oxidation,C14OHc
Fatty acid oxidation,C162ACBP
"Transport, extracellular",PIt9
Fatty acid oxidation,RE3169C
Fatty acid oxidation,C16OHc
Fatty acid oxidation,C182OHc
"Transport, extracellular",PROt4_2_r
Fatty acid oxidation,C18OHc
"Transport, peroxisomal",ACRNtp
Steroid metabolism,HSD17B3r
Biomass and maintenance functions,BIOMASS_reaction
Fatty acid oxidation,RE3170C
Fatty acid oxidation,3HBCOARc
Fatty acid oxidation,ADPCOACROT
Fatty acid oxidation,RE3174C
Fatty acid oxidation,ADPCOAPTE
Fatty acid oxidation,C102CPT1
Fatty acid oxidation,C3DCe
Fatty acid oxidation,C4CRNCPT2
Fatty acid oxidation,RE3175C
Fatty acid oxidation,C4CRNe
Fatty acid oxidation,C4DCCACT
Fatty acid oxidation,C10DCe
Fatty acid oxidation,C10OHc
Fatty acid oxidation,RE3178M
Fatty acid oxidation,C120CPT1
Fatty acid oxidation,C121CPT1
Fatty acid oxidation,C4DCe
"Transport, peroxisomal",C4tcx
"Transport, mitochondrial",C4tmc
Fatty acid oxidation,C51CPT1
Fatty acid oxidation,C12DCTD
Fatty acid oxidation,C12DCe
Fatty acid oxidation,C5DCe
Fatty acid oxidation,C60CPT1
Fatty acid oxidation,RE3179M
"Transport, peroxisomal",C6COAt
Cholesterol metabolism,RE3180C
Fatty acid oxidation,FAOXC122m
Fatty acid oxidation,C6DCCACT
Fatty acid oxidation,C6DCc
Fatty acid oxidation,C80CPT1
Fatty acid oxidation,C81CRNe
Intracellular source/sink,SK_dd2coa_c
Fatty acid oxidation,DDCRNe
Intracellular source/sink,SK_decdicoa_c
Fatty acid oxidation,DOCOSACT
Fatty acid oxidation,DOCOSACTDe
Fatty acid oxidation,DOCOSACTDr
"Transport, peroxisomal",DOCOSCOAtxc
Extracellular exchange,EX_3hdececrn_e
Extracellular exchange,EX_3ivcrn_e
Extracellular exchange,EX_3thexddcoacrn_e
Extracellular exchange,EX_c101crn_e
Extracellular exchange,EX_c10crn_e
Extracellular exchange,EX_c10dc_e
Extracellular exchange,EX_c12dc_e
Extracellular exchange,EX_c3dc_e
Fatty acid oxidation,DOCO13EFATP
Fatty acid oxidation,FAOXC16C16OHm
Extracellular exchange,EX_c4dc_e
Fatty acid oxidation,FAOXC123C102x
Fatty acid oxidation,FAOXC16DCC14DCx
Fatty acid oxidation,FAOXC16DCr
Fatty acid oxidation,FAOXC16OHC16r
Fatty acid oxidation,FAOXC170150m
Fatty acid oxidation,FAOXC181C181OHm
Fatty acid oxidation,FAOXC123m
Fatty acid oxidation,FAOXC182C162m
Fatty acid oxidation,FAOXC183C163m
Extracellular exchange,EX_c5dc_e
Fatty acid oxidation,FAOXC120100x
Extracellular exchange,EX_c6crn_e
Extracellular exchange,EX_c8crn_e
Extracellular exchange,EX_decdicrn_e
Fatty acid oxidation,FAOXC184C163x
Fatty acid oxidation,FAOXC184C164m
Fatty acid oxidation,FAOXC184m
Fatty acid oxidation,FAOXC185C164m
Fatty acid oxidation,FAOXC18C18OHm
Extracellular exchange,EX_docosac_e
Extracellular exchange,EX_docosdiac_e
Extracellular exchange,EX_dca_e
Fatty acid oxidation,FAOXC204C205x
Fatty acid oxidation,FAOXC101C8x
Fatty acid oxidation,FAOXC12DCC10DCx
Fatty acid oxidation,FAOXC101x
Fatty acid oxidation,FAOXC102C101m
Fatty acid oxidation,FAOXC102C81m
Fatty acid oxidation,FAOXC221C201x
Fatty acid oxidation,FAOXC225C204m
Fatty acid oxidation,FAOXC225C226m
Fatty acid oxidation,FAOXC225C226x
Fatty acid oxidation,FAOXC102C81x
Fatty acid oxidation,FAOXC102m
Fatty acid oxidation,FAOXC102x
Fatty acid oxidation,FAOXC226C225m
Fatty acid oxidation,FAOXC227C226m
Fatty acid oxidation,FAOXC12DCc
Fatty acid oxidation,FAOXC22C22DCHYr
Fatty acid oxidation,FAOXC22OHC22r
Fatty acid oxidation,FAOXC103C102m
Fatty acid oxidation,FAOXC103C102x
Fatty acid oxidation,FAOXC10C10OHm
Fatty acid oxidation,FAOXC10080m
Fatty acid oxidation,FAOXC10080x
Fatty acid oxidation,FAOXC121C101m
Fatty acid oxidation,FAOXC3DC
Fatty acid oxidation,FAOXC4020m
Fatty acid oxidation,FAOXC4C4DCc
Fatty acid oxidation,FAOXC61m
Fatty acid oxidation,FAOXC6C4x
Fatty acid oxidation,FAOXC6DCC4DCx
Extracellular exchange,EX_dchac_e
Fatty acid oxidation,FAOXC12DCx
Fatty acid oxidation,FAOXC81C61m
Fatty acid oxidation,FAOXC8C6m
Fatty acid oxidation,FAOXC8DCC6DCx
Fatty acid oxidation,FAOXC13BRC11BRx
Fatty acid oxidation,FAOXC9C7m
Fatty acid oxidation,FAOXOHC16C16DCc
Fatty acid oxidation,FAOXOHC22C22DCc
"Transport, peroxisomal",STCOATxc
Fatty acid oxidation,SUBERCROT
Fatty acid oxidation,FAOXC13C11m
Fatty acid oxidation,SUBERICACT
Fatty acid oxidation,SUCCCROT
Fatty acid oxidation,FAOXC141C141OHm
Fatty acid oxidation,TDCRNe
Fatty acid oxidation,FAOXC142C122m
Intracellular source/sink,SK_tetdec2coa_c
Intracellular source/sink,SK_tetdece1coa_c
Fatty acid oxidation,TETDECE1CRNe
Fatty acid oxidation,TIGCRNe
Fatty acid oxidation,FAOXC142C122x
Fatty acid oxidation,FAOXC143C123m
Fatty acid oxidation,FAOXC143C123x
Fatty acid oxidation,FAOXC140120m
Fatty acid oxidation,FAOXC14C14OHm
Fatty acid oxidation,FAOXC15ATPx
"Transport, extracellular",34DHPHELAT1tc
"Transport, extracellular",4OHPROIMINOtc
"Transport, extracellular",ALAALACNc
Fatty acid oxidation,FAOXOHMC10DC10c
Fatty acid oxidation,FAOXTC162TC142m
Fatty acid oxidation,FAOXTC182TC162m
"Transport, extracellular",ALAALAPEPT1tc
"Transport, extracellular",ALAyLATthc
Fatty acid oxidation,FAOXC15BRC13BRx
"Transport, extracellular",ARGATB0tc
Fatty acid oxidation,FOAXC122C101x
Fatty acid oxidation,FAOXC15NADx
"Transport, extracellular",ASNATB0tc
"Transport, extracellular",BALAt2r
Fatty acid oxidation,HDCACBP
Dietary fiber binding,BGLUTDECHOe
Fatty acid oxidation,FAOXC161C141m
"Transport, extracellular",BTNTe
Fatty acid oxidation,FAOXC161C141x
"Transport, extracellular",CARPEPT1tc
"Transport, extracellular",CYSSNAT5tc
"Transport, extracellular",CYSTLEUrBATtc
Fatty acid oxidation,HEXDIACtr
Fatty acid oxidation,HEXDICOAACBPx
Fatty acid oxidation,HIVCACBP
"Transport, extracellular",GALSGLT1le
Fatty acid oxidation,HIVCRNe
Fatty acid oxidation,FAOXC161C161OHm
Fatty acid oxidation,HTDCACBP
Fatty acid oxidation,HTDCRNe
Fatty acid oxidation,IVCOAACBP
"Transport, extracellular",GLNATB0tc
"Transport, extracellular",GLYPHEPEPT1tc
Dietary fiber binding,GUMDCHAe
Fatty acid oxidation,IVCRNe
"Transport, peroxisomal",LGNCCOAtcx_1
Dietary fiber binding,GUMGCHLe
"Transport, peroxisomal",NRVNCCOAtxc
Dietary fiber binding,GUMTCHOLe
Fatty acid oxidation,OCD11COACPT1_1
Fatty acid oxidation,FAOXC162C162OHm
Fatty acid oxidation,OCT11EFATP_1
Fatty acid oxidation,OCTDECCPT1
"Transport, extracellular",HISSNAT5tc
"Transport, extracellular",HISyLATtc
Fatty acid oxidation,FAOXC163C142x
"Transport, endoplasmic reticular",HPETFABP1tc
"Transport, extracellular",LEUATB0tc
"Transport, extracellular",LEUGLYPEPT1tc
"Transport, extracellular",LEULEULAPc
"Transport, extracellular",LEULEUPEPT1tc
Fatty acid oxidation,OCTDECE1CRNe
Intracellular source/sink,SK_octdececoa_c
Fatty acid oxidation,OMHDEACIDTD
Fatty acid oxidation,SBCOAACOTx
"Transport, peroxisomal",SCP21cx
"Transport, extracellular",LINOFATPtc
"Transport, extracellular",METATB0tc
"Transport, extracellular",NACHORCTL3le
"Transport, extracellular",OLEICFATPtc
Fatty acid oxidation,FAOXC163C164Gm
"Transport, extracellular",ORNALArBATtc
Fatty acid oxidation,FAOXC163C164x
"Transport, extracellular",ORNLEUrBATtc
Dietary fiber binding,PECGCHLe
"Transport, extracellular",PHEATB0tc
Extracellular exchange,EX_gltdechol_e
Extracellular exchange,EX_glysar_e
Extracellular exchange,EX_gumtchol_e
Extracellular exchange,EX_leugly_e
Extracellular exchange,EX_leuleu_e
"Transport, extracellular",PHEyLATthc
"Transport, extracellular",PROIMINOtc
Extracellular exchange,EX_pect_e
Dietary fiber binding,PSYGCHe
Fatty acid oxidation,FAOXC163Gm
Extracellular exchange,EX_pectingchol_e
Extracellular exchange,EX_pectintchol_e
Extracellular exchange,EX_psyl_e
Extracellular exchange,EX_psylchol_e
Extracellular exchange,EX_psyltchol_e
Extracellular exchange,EX_slfcys_e
"Transport, extracellular",THMATPe
"Transport, extracellular",TRPATB0tc
"Transport, extracellular",TYRATB0tc
"Transport, extracellular",VALATB0tc
"Transport, extracellular",VITEtl
Fatty acid oxidation,FAOXC163x
"Transport, mitochondrial",3AIB_Dtm
Extracellular exchange,EX_pan4p_e
Extracellular exchange,EX_ptth_e
Extracellular exchange,EX_q10h2_e
"Transport, extracellular",3HCO3_NAt
Fatty acid oxidation,FAOXC164C143m
"Transport, nuclear",4ABUTtcn
"Transport, extracellular",4HPROLTASCT1
"Transport, extracellular",ADNt5
Fatty acid oxidation,FAOXC164C143x
"Transport, mitochondrial",AHCYStm
Vitamin B2 metabolism,FADDPle
Fatty acid oxidation,FAOXC164C163x
"Transport, extracellular",FE2DMT1
"Transport, extracellular",FOLt2
"Transport, extracellular",ALA_DTDe
"Transport, extracellular",ASPDTDe
"Transport, extracellular",ASPPROASCT1
"Transport, extracellular",BTNt3i
"Transport, endoplasmic reticular",FRDPtcr
Pentose phosphate pathway,G6PDH2c
Fatty acid oxidation,FAOXC164C165m
"Transport, mitochondrial",GLU5SAtmc
Oxidative phosphorylation,G3PDm
Pentose phosphate pathway,GNDc
"Transport, extracellular",GSNt5
Methionine and cysteine metabolism,HYPTROXe
"Transport, endoplasmic reticular",CHSTEROLtrc
"Transport, peroxisomal",CRNtp
"Transport, extracellular",CYTDt5
"Transport, extracellular",Coqe
"Transport, mitochondrial",DCTPtm_cho
"Transport, mitochondrial",DGTPtm_cho
Intracellular demand,DM_taur_c
Intracellular demand,DM_pmtcoa_r
Squalene and cholesterol synthesis,DSREDUCr
Purine synthesis,INSK
Fatty acid oxidation,FAOXC164m
"Transport, extracellular",Kt3r
"Transport, peroxisomal",LACLt
